"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1","","1.0"
"2","Bijan Robinson","ATL","5","RB1","2","3","4","2","","2.6"
"3","Saquon Barkley","PHI","9","RB2","3","2","2","4","","2.8"
"4","Jahmyr Gibbs","DET","8","RB3","5","6","6","3","","4.8"
"5","Justin Jefferson","MIN","6","WR2","4","4","5","6","","4.8"
"6","CeeDee Lamb","DAL","10","WR3","6","5","3","5","","5.0"
"7","Puka Nacua","LAR","8","WR4","8","8","7","10","","9.2"
"8","Christian McCaffrey","SF","14","RB4","7","13","12","7","","9.4"
"9","Amon-Ra St. Brown","DET","8","WR5","9","7","9","11","","9.6"
"10","Malik Nabers","NYG","14","WR6","10","9","10","9","","9.8"
"11","Derrick Henry","BAL","7","RB5","13","10","8","13","","10.2"
"12","Ashton Jeanty","LV","8","RB6","11","12","11","8","","10.4"
"13","De'Von Achane","MIA","12","RB7","12","15","13","12","","12.2"
"14","Nico Collins","HOU","6","WR7","14","11","16","16","","14.2"
"15","Brian Thomas Jr.","JAC","8","WR8","16","14","14","15","","15.0"
"16","Josh Jacobs","GB","5","RB8","18","20","17","14","","16.8"
"17","A.J. Brown","PHI","9","WR9","15","17","15","23","","18.0"
"18","Brock Bowers","LV","8","TE1","19","16","19","20","","19.6"
"19","Jonathan Taylor","IND","11","RB9","17","23","22","19","","20.0"
"20","Drake London","ATL","5","WR10","22","18","20","21","","20.6"
"21","Lamar Jackson","BAL","7","QB1","21","24","18","25","","21.0"
"22","Bucky Irving","TB","9","RB10","23","19","25","18","","21.6"
"23","Josh Allen","BUF","7","QB2","20","21","21","27","","22.0"
"24","Kyren Williams","LAR","8","RB11","25","28","23","22","","23.2"
"25","Ladd McConkey","LAC","12","WR11","30","22","24","28","","26.0"
"26","Trey McBride","ARI","8","TE2","24","25","26","29","","27.4"
"27","Chase Brown","CIN","10","RB12","32","30","34","17","","27.6"
"28","Tyreek Hill","MIA","12","WR12","28","27","36","26","","29.0"
"29","Tee Higgins","CIN","10","WR13","27","29","31","36","","30.0"
"30","Jayden Daniels","WAS","12","QB3","26","31","27","33","","30.4"
"31","James Cook","BUF","7","RB13","33","34","28","30","","31.2"
"32","Breece Hall","NYJ","9","RB14","49","33","30","24","","33.2"
"33","Jaxon Smith-Njigba","SEA","8","WR14","36","26","39","34","","34.4"
"34","Joe Burrow","CIN","10","QB4","31","40","35","37","","34.4"
"35","Jalen Hurts","PHI","9","QB5","29","39","32","44","","36.4"
"36","Garrett Wilson","NYJ","9","WR15","39","32","37","38","","37.4"
"37","Alvin Kamara","NO","11","RB15","37","42","46","31","","38.0"
"38","Kenneth Walker III","SEA","8","RB16","38","45","40","35","","38.0"
"39","George Kittle","SF","14","TE3","34","38","38","42","","38.2"
"40","Davante Adams","LAR","8","WR16","35","41","42","40","","38.8"
"41","Terry McLaurin","WAS","12","WR17","40","35","29","45","","39.0"
"42","Mike Evans","TB","9","WR18","41","37","33","49","","40.0"
"43","Marvin Harrison Jr.","ARI","8","WR19","45","36","43","41","","41.8"
"44","Omarion Hampton","LAC","12","RB17","46","43","50","32","","42.8"
"45","Chuba Hubbard","CAR","14","RB18","44","46","52","39","","45.2"
"46","James Conner","ARI","8","RB19","48","51","49","46","","47.2"
"47","DJ Moore","CHI","5","WR20","52","47","48","47","","48.4"
"48","DK Metcalf","PIT","5","WR21","43","48","58","52","","49.6"
"49","Rashee Rice","KC","10","WR22","58","44","41","55","","50.6"
"50","Sam LaPorta","DET","8","TE4","42","49","44","63","","51.6"
"51","Patrick Mahomes II","KC","10","QB6","47","57","45","62","","52.0"
"52","Courtland Sutton","DEN","12","WR23","59","50","54","51","","53.6"
"53","Joe Mixon","HOU","6","RB20","53","52","47","64","","53.8"
"54","DeVonta Smith","PHI","9","WR24","62","53","53","57","","56.6"
"55","D'Andre Swift","CHI","5","RB21","56","74","60","43","","56.8"
"56","Xavier Worthy","KC","10","WR25","50","55","66","66","","57.4"
"57","David Montgomery","DET","8","RB22","61","56","64","58","","59.0"
"58","Travis Kelce","KC","10","TE5","55","66","57","65","","61.4"
"59","Zay Flowers","BAL","7","WR26","54","54","69","69","","61.6"
"60","TreVeyon Henderson","NE","14","RB23","72","65","67","48","","61.8"
"61","Jameson Williams","DET","8","WR27","65","59","55","67","","62.6"
"62","T.J. Hockenson","MIN","6","TE6","57","58","51","73","","62.8"
"63","Baker Mayfield","TB","9","QB7","51","68","61","76","","63.4"
